date,time,tweet,tweet_id,hashtags,user_id,username,location,num_followers,geo_enabled,long,lat,relevant,neg_sent_score,neu_sent_score,pos_sent_score,compound_sent_score,sent_class,query_location
2022-02-24,14:20:41,Viktor Arvidsson with a Goal vs. Arizona Coyotes #YahooSports #NHL https://t.co/8xoC3skQTB,1496852588280500228,"['YahooSports', 'NHL']",340070780,x3tko,"Bay Area, CA",1470,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-02-24,08:22:31,a Goal from Arizona Coyotes vs. Los Angeles Kings #YahooSports #NHL https://t.co/KYcLo254bV,1496762449516580864,"['YahooSports', 'NHL']",340070780,x3tko,"Bay Area, CA",1470,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-02-24,05:24:02,Huge news! https://t.co/z1v4irVyQi https://t.co/XJv6nIsSU8,1496717532480241665,[],1428760560,TheSoCalCoyotes,Southern California,551,True,,,0.0,0.0,0.536,0.464,0.3802,positive,fresno
2022-02-24,03:55:47,Way to go Coyotes! https://t.co/oeXzpKcza7,1496695324110307329,[],1162083431854960640,FAN94748257,"Madera, CA",78,False,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-02-24,03:52:31,"Final from Madtown, it’s your “Cardiac Coyotes” 49, @RedwoodBBall 45. The Cinderella run continues on Friday when we load up the buses to #1 seed Corcoran #upsetminded @paulmeadors @CifCentral @VTD_Sports @StephenABC30 @MadTrib @FresnoBeeSports @SBemisOnline https://t.co/d472J7E7q1",1496694502173835264,['upsetminded'],155966883,maderacoyotes1,"Madera, CA",1254,True,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-02-24,03:33:46,"@PAGMETER girls basketball Madera 47 Redwood 45 
42 sec left. 
Frosh Aaliyah String puts Coyotes up with layup!",1496689783329808391,[],2916528449,CoachNainoa,"Madera, CA",493,True,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-02,17:29:04,Anyone see a coyote around here? https://t.co/PUq8KqeqA3,1499074320613576706,[],18263556,JCBliss,Northern California,522,True,,,0.0,0.0,1.0,0.0,0.0,neutral,fresno
2022-03-01,19:26:14,"Coyote &amp; Crow are looking for sone very specific writing help. If you're a Native writer with ties to what they're  looking for, check this out! https://t.co/RgofjPvFHH",1498741418893856768,[],1388981527199948800,palmerosvoice,Northern California,181,False,,,0.0,0.0,0.889,0.111,0.5033,positive,fresno
2022-03-01,02:45:43,Are the owners lying? Sure. You can tell a professional sports team owner is lying because his lips are moving. Almost every professional sports team makes money (the only exception right now might be the NHL's Arizona Coyotes) and the big franchises make a lot of it. 2/,1498489633268637696,[],188106899,dilanesper,Southern California,1094,False,,,0.0,0.126,0.832,0.043,-0.6705,negative,fresno
2022-02-28,17:46:03,"@ReallyIsTheresa @DavidSchwimmer @RealClancyBrown Really? Peter Coyote’s twin brother? You must be mistaken, Murray was born without a penis",1498353821352751106,[],1338972746093510656,zendog41,Northern California,287,False,,,0.0,0.144,0.856,0.0,-0.4329,negative,fresno
